from,to,share
GBR,ROU,0.08451717982064864
HUN,ROU,0.045961380229863034
UKR,RUS,0.3047200531131534
KAZ,RUS,0.22653441060195534
DEU,RUS,0.11703826675585714
UZB,RUS,0.07969332967353282
BLR,RUS,0.06152624374136761
COD,RWA,0.4456416715988393
BDI,RWA,0.1357619010209894
UGA,RWA,0.11645093331924328
BEL,RWA,0.065771355645547
COG,RWA,0.04590033268821766
USA,SAU,0.21995370497266536
TUR,SAU,0.14669940583224536
LBY,SAU,0.1043392945255133
GBR,SAU,0.1025239003105557
PSE,SAU,0.06875217180864317
SAU,SDN,0.29057819329880386
SSD,SDN,0.2021279637973599
TCD,SDN,0.12815342428567408
ARE,SDN,0.09120356751940237
USA,SDN,0.0367005515675639
FRA,SEN,0.26515272564104886
ITA,SEN,0.18604098242320063
GMB,SEN,0.11767999385867078
USA,SEN,0.11595898373931134
ESP,SEN,0.09741842211887457
AUS,SLB,0.7208006521315877
FJI,SLB,0.10771624721825991
GBR,SLB,0.10416341106643255
PNG,SLB,0.02705797703899595
USA,SLE,0.4017208285182546
GBR,SLE,0.20609748458132196
SEN,SLE,0.04903474990099941
LBR,SLE,0.04582301641270908
DEU,SLE,0.03868334072395809
USA,SLV,0.8961290583033159
CAN,SLV,0.030528781499272
KEN,SOM,0.13564005010511218
GBR,SOM,0.12334866595027597
USA,SOM,0.12104726589463806
ETH,SOM,0.11228522220793631
YEM,SOM,0.06582531680429655
DEU,SRB,0.26987782620476786
AUT,SRB,0.16155872323748502
FRA,SRB,0.1000534332324605
CHE,SRB,0.07835818443769914
HRV,SRB,0.050675617458002614
SDN,SSD,0.36366008752890067
UGA,SSD,0.28850508133230923
ETH,SSD,0.12401572376919084
KEN,SSD,0.059779762769072646
ARE,SSD,0.05505907603036814
PRT,STP,0.5748891217562664
GAB,STP,0.14727109065658026
AGO,STP,0.13309485887334216
GNQ,STP,0.0398241616842288
CPV,STP,0.03583148490833937
NLD,SUR,0.6677579804708256
FRA,SUR,0.19525892983994605
USA,SUR,0.0820753532300339
BEL,SUR,0.02016465612696287
CZE,SVK,0.26617705366718813
GBR,SVK,0.16722410119222197
DEU,SVK,0.14931390207143616
AUT,SVK,0.10961698370497475
CHE,SVK,0.0529637875995754
DEU,SVN,0.2779490499179706
AUT,SVN,0.15583136016656282
HRV,SVN,0.11238011911155034
USA,SVN,0.08987648248285542
SRB,SVN,0.06791461299823998
NOR,SWE,0.14316854786421304
USA,SWE,0.1405998384421613
GBR,SWE,0.09817697002223466
FIN,SWE,0.0972876021761509
ESP,SWE,0.08468918687594472
ZAF,SWZ,0.892511962265666
GBR,SWZ,0.03724407948738441
MOZ,SYC,0.5693527022573426
GBR,SYC,0.15284342650779187
AUS,SYC,0.10375217343544524
CAN,SYC,0.03991451861778297
ITA,SYC,0.030286647921295286
NGA,TGO,0.2542311962028931
BEN,TGO,0.17137146615557228
GHA,TGO,0.17133304703563584
FRA,TGO,0.09523707853708946
CIV,TGO,0.06790619126349766
USA,THA,0.2409907285721122
KOR,THA,0.14123988726570644
DEU,THA,0.07719274612341946
AUS,THA,0.07555666192082251
JPN,THA,0.046693166494160145
RUS,TJK,0.7895224590946176
DEU,TJK,0.06546316532435886
UKR,TJK,0.04224372829675499
KAZ,TJK,0.02652893621070544
RUS,TKM,1
IDN,TLS,0.5171257096056563
AUS,TLS,0.33223524144823313
GBR,TLS,0.08325048399467
PRT,TLS,0.05352784812474995
USA,TON,0.40024471160747893
NZL,TON,0.35330815169074986
AUS,TON,0.20223092238466353
USA,TTO,0.6658093622182444
CAN,TTO,0.19293082973681155
GBR,TTO,0.08264758496068532
FRA,TUN,0.48221481500213664
USA,TUN,0.2031927022190438
ITA,TUN,0.11563817111152035
DEU,TUN,0.051163803594123855
ISR,TUN,0.026958500938072116
DEU,TUR,0.537694663131584
FRA,TUR,0.09815096986666158
NLD,TUR,0.05892080146440162
AUT,TUR,0.046441557959307045
USA,TUR,0.037656521470441406
USA,TZA,0.3281150730955006
GBR,TZA,0.17355564095535952
CAN,TZA,0.0869355098314216
RWA,TZA,0.07881708618127646
KEN,TZA,0.07079912512601208
KEN,UGA,0.29669028027901273
USA,UGA,0.16377898585627224
GBR,UGA,0.15898723341363274
SSD,UGA,0.13361432976731216
RWA,UGA,0.08238307679407737
RUS,UKR,0.5309068007192117
USA,UKR,0.06836380051748149
KAZ,UKR,0.055987308639627184
DEU,UKR,0.051854010350527426
POL,UKR,0.04497437552174213
ARG,URY,0.3502520358490388
ESP,URY,0.2264713612477152
USA,URY,0.15068775354432165
BRA,URY,0.07936048853699117
AUS,URY,0.030580546618147283
MEX,USA,0.26738422624051544
CAN,USA,0.09140632519417137
GBR,USA,0.0570770151731635
PRI,USA,0.05336490657312352
DEU,USA,0.03989613474204836
RUS,UZB,1
USA,VCT,0.3767210628063291
CAN,VCT,0.2245068974801662
GBR,VCT,0.19407066528032446
TTO,VCT,0.10409738143489652
BRB,VCT,0.04282089678364283
USA,VNM,0.43713770275949065
JPN,VNM,0.09521071707686457
AUS,VNM,0.07993165374288153
CHN,VNM,0.07565798085225119
CAN,VNM,0.05317098503810154
AUS,VUT,0.5423500968859342
NCL,VUT,0.2491375687802832
FRA,VUT,0.11930218229148003
GBR,VUT,0.023278075448823352
NZL,WSM,0.4234585685706743
AUS,WSM,0.25899479542152726
USA,WSM,0.22503581811464773
ASM,WSM,0.08014963832074776
DEU,XKX,0.5465802524708131
CHE,XKX,0.2487458311386163
AUT,XKX,0.070724261741159
SVN,XKX,0.04669631932245061
SWE,XKX,0.024976969111664884
GBR,ZAF,0.26774268801460704
AUS,ZAF,0.22077793670157844
USA,ZAF,0.13518566735303603
NZL,ZAF,0.07885739813943173
CAN,ZAF,0.05242874514064179
USA,ZMB,0.26232741085725286
GBR,ZMB,0.20701163384411533
ZWE,ZMB,0.10163674682022948
MWI,ZMB,0.10062012279075791
ZAF,ZMB,0.09708746890760107
ZAF,ZWE,0.4826522974905269
GBR,ZWE,0.18920435611580116
USA,ZWE,0.10593400317126946
AUS,ZWE,0.052995475175149055
BWA,ZWE,0.04722172069984803
